"Gene"	"CC02.17F1a"	"CC06.09F1a"	"CB21.03F1a"	"CC03.15F1a"	"CB05.15F1a"	"CC20.13F1a"	"CB07.01F1a"	"CB20.13F1a"
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_78"	1	0	1	0	1	2	5	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_79"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_80"	1	0	1	0	0	1	3	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_81"	0	0	7	0	0	0	16	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_82"	0	0	0	0	0	1	5	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_83"	0	0	1	0	0	1	4	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_84"	1	0	3	0	0	7	22	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_85"	0	0	1	0	0	3	9	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_86"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_87"	0	0	0	0	0	1	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_88"	0	0	1	0	0	2	14	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_89"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_90"	1	0	1	0	0	2	8	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_91"	0	0	0	0	0	0	2	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_92"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_93"	1	0	0	0	0	2	2	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_94"	2	0	2	1	1	7	28	3
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_95"	1	0	1	0	0	6	18	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_96"	0	0	2	0	0	1	5	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_97"	0	0	1	0	0	1	6	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_98"	1	0	0	0	0	1	6	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_99"	2	0	6	1	0	6	26	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_100"	0	0	2	0	0	1	3	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_101"	1	1	295	2	4	1	121	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_102"	0	0	72	1	1	0	33	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_103"	0	0	0	0	0	1	5	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_104"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_105"	0	0	1	0	0	2	6	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_106"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_107"	0	0	1	0	0	2	6	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_108"	1	0	3	0	0	6	23	4
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_109"	1	0	4	0	0	5	19	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_110"	0	0	1	0	0	1	4	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_111"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_112"	0	0	0	0	0	1	2	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_113"	1	0	1	1	0	4	17	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_114"	1	0	1	0	0	2	7	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_115"	0	0	2	0	0	3	8	2
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_116"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_117"	0	0	0	0	0	0	2	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_118"	0	0	6	0	0	0	2	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_119"	0	0	3	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_120"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_121"	1	0	1	0	0	2	5	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_122"	0	0	3	0	0	1	4	1
